CaseId,Manufacturer,Price ($),Format,Resolution (M Pixels),Optical Zoom (X),Digital Zoom (X),Weight (grams),Storage Type,Storage Included (MB)
CASE0,Canon,459,Compact,5,3.6,4.1,300,Compact Flash,32
CASE1,Canon,879,SLR-Like,8,7.1,3.2,640,Compact Flash,64
CASE2,Canon,871,SLR,6.29,10,0,645,Compact Flash,0
CASE3,Canon,156,Compact,3.14,0,5.1,205,Compact Flash,0
CASE4,Canon,443,Ultra Compact,5,3,4.1,215,Compact Flash,32
CASE5,Canon,238,Compact,3.14,3,3.2,315,Compact Flash,32
CASE6,Canon,277,Ultra Compact,3.2,2,3.2,195,Compact Flash,32
CASE7,Canon,533,Compact,5,4,3.6,490,Compact Flash,32
CASE8,Canon,163,Compact,3.14,0,5.1,225,Compact Flash,16
CASE9,Canon,457,Compact,5,3,4.1,323,Compact Flash,32
CASE10,Canon,7439,SLR,11,10,0,1585,Compact Flash,0
CASE11,Canon,800,Compact,3.9,4,3.6,490,Compact Flash,32
CASE12,Canon,386,Compact,3.9,3,3.6,323,Compact Flash,32
CASE13,Canon,399,Ultra Compact,3.14,2,3.2,250,Compact Flash,16
CASE14,Canon,300,Compact,1.92,0,4,225,Compact Flash,8
CASE15,Canon,375,Ultra Compact,1.92,3,2.5,274,Compact Flash,8
CASE16,Canon,200,Compact,1.2,0,3.2,225,Compact Flash,8
CASE17,Canon,385,Compact,1.92,3,2.5,350,Compact Flash,8
CASE18,Canon,499,Compact,3.14,3,3.2,323,Compact Flash,16
CASE19,Canon,800,Compact,3.9,3,3.6,323,Compact Flash,16
CASE20,Canon,400,Compact,1.2,3,2,375,Compact Flash,8
CASE21,Canon,500,Compact,1.92,3,2.5,375,Compact Flash,8
CASE22,Canon,650,Ultra Compact,1.92,2,4,250,Compact Flash,8
CASE23,Sony,447,Compact Swivel,5,3,4,202,Memory Stick,32
CASE24,Sony,550,Ultra Compact,5,3,4,186,Memory Stick,32
CASE25,Sony,283,Compact,3.9,3,3.6,243,Memory Stick,16
CASE26,Sony,202,Compact,3.9,0,3.6,180,Memory Stick,16
CASE27,Sony,376,Ultra Compact,5,3,4,210,Memory Stick,32
CASE28,Sony,383,Ultra Compact,5,3,4,230,Memory Stick,32
CASE29,Sony,336,Compact,5,3,4,236,Memory Stick,32
CASE30,Sony,454,Ultra Compact,5,3,4,200,Memory Stick,32
CASE31,Sony,193,Ultra Compact,2,0,0,130,Memory Stick,8
CASE32,Sony,229,Ultra Compact,2,0,0,132,Memory Stick,8
CASE33,Sony,875,Compact Swivel,8,7.1,2,906,Memory Stick,0
CASE34,Sony,183,Ultra Compact,2,0,0,130,Memory Stick,8
CASE35,Sony,249,Ultra Compact,2,0,0,200,Memory Stick,8
CASE36,Sony,364,Ultra Compact,5,3,4,206,Memory Stick,32
CASE37,Sony,237,Compact,3.14,3,3.2,259,Memory Stick,16
CASE38,Sony,543,SLR-Like,5,3,4,606,CD-R,2
CASE39,Sony,394,Compact,3.14,3,3.2,522,CD-R,2
CASE40,Sony,455,Ultra Compact,5,4,4,298,Memory Stick,32
CASE41,Sony,184,Ultra Compact,2,0,0,118,Memory Stick,8
CASE42,Sony,617,Compact Swivel,4.92,5,2,659,Memory Stick,32
CASE43,Sony,304,Compact,5,3,4,259,Memory Stick,16
CASE44,Olympus,151,Compact,3.14,0,2.5,210,xD Picture Card,16
CASE45,Olympus,416,Compact,5.9,3,4,230,xD Picture Card,32
CASE46,Olympus,571,Compact,3.9,10,3,310,xD Picture Card,16
CASE47,Olympus,245,Compact,3.9,3,4,210,xD Picture Card,16
CASE48,Olympus,177,Compact,3.14,3,3.3,200,xD Picture Card,16
CASE49,Olympus,422,Compact,3.9,10,3,310,xD Picture Card,16
CASE50,Olympus,866,SLR-Like,8,5,3,724,xD Picture Card,32
CASE51,Olympus,343,Compact,3.9,3,4,200,xD Picture Card,16
CASE52,Olympus,588,Compact,5,4.1,3.5,480,xD Picture Card,32
CASE53,Olympus,358,Compact,4.92,3,4,280,xD Picture Card,32
CASE54,Olympus,1694,SLR,4.92,10,0,735,Compact Flash,0
CASE55,Olympus,191,Compact,3.14,3,3.3,220,xD Picture Card,16
CASE56,Olympus,311,SLR-Like,3.14,10,3,340,xD Picture Card,16
CASE57,Olympus,451,SLR-Like,3.9,10,4,340,xD Picture Card,16
CASE58,Olympus,131,Compact,1.92,0,2.5,230,xD Picture Card,16
CASE59,Olympus,259,Compact,3.14,3,4,220,xD Picture Card,16
CASE60,Olympus,404,Compact,3.9,3,4,220,xD Picture Card,16
CASE61,Olympus,437,Compact,4.92,3,4,230,xD Picture Card,32
CASE62,Olympus,449,SLR-Like,2.95,10,3,400,SmartMedia,16
CASE63,Olympus,583,Compact,4.92,3,2.5,480,xD Picture Card,32
CASE64,Olympus,313,Compact,3.9,3,3.5,400,SmartMedia,16
CASE65,Olympus,355,SLR-Like,2.95,8,3,340,SmartMedia,16
CASE66,Olympus,300,Compact,2.95,2.8,3.6,300,SmartMedia,16
CASE67,Olympus,199,Compact,1.92,0,2.5,250,SmartMedia,8
CASE68,Olympus,289,Compact,3.14,3,2.5,380,SmartMedia,8
CASE69,Olympus,300,Compact,1.92,0,2.5,220,SmartMedia,16
CASE70,Olympus,200,Compact,1.2,0,4,190,SmartMedia,0
CASE71,Olympus,400,Compact,1.2,3,2,190,SmartMedia,8
CASE72,Olympus,400,Compact,1.92,3,3,250,SmartMedia,8
CASE73,Nikon,292,Compact,3.9,3,3,190,Internal Memory,16
CASE74,Nikon,438,Compact,5,3,4,180,Internal Memory,16
CASE75,Nikon,383,Compact,3.87,3,4,180,Internal Memory,16
CASE76,Nikon,864,SLR-Like,8,8,4,512,Compact Flash,64
CASE77,Nikon,1209,SLR,6,10,0,720,Compact Flash,0
CASE78,Nikon,221,Compact,3.14,3,4,190,Internal Memory,16
CASE79,Nikon,148,Compact,1.92,3,4,190,Internal Memory,16
CASE80,Nikon,292,Ultra Compact,3.14,3,4,162,Internal Memory,16
CASE81,Nikon,2924,SLR,4,10,0,1150,Compact Flash,0
CASE82,Nikon,523,Compact,5,4.1,4,400,Compact Flash,16
CASE83,Nikon,251,Compact Swivel,3.05,3,4,216,Compact Flash,16
CASE84,Nikon,222,Compact,3.14,3,4,215,Compact Flash,16
CASE85,Nikon,145,Compact,1.92,3,4,215,Compact Flash,8
CASE86,Nikon,288,Compact,3.87,3,4,286,Compact Flash,16
CASE87,Nikon,385,Compact Swivel,3.87,4.1,4,374,Compact Flash,16
CASE88,Nikon,677,SLR-Like,4.92,8,4,512,Compact Flash,32
CASE89,Nikon,1474,SLR,6,10,0,780,Compact Flash,0
CASE90,Fujifilm,349,Ultra Compact,3.9,3.4,4,180,xD Picture Card,16
CASE91,Fujifilm,399,Ultra Compact,5,3.4,4,180,xD Picture Card,16
CASE92,Fujifilm,307,Compact,3.14,0,4,170,xD Picture Card,16
CASE93,Fujifilm,325,Compact,3.14,3.7,4,225,xD Picture Card,16
CASE94,Fujifilm,3000,SLR,6.1,10,0,930,xD Picture Card,0
CASE95,Fujifilm,217,Compact,4.23,3,1.7,160,xD Picture Card,16
CASE96,Fujifilm,197,Compact,3.34,3,1.6,160,xD Picture Card,16
CASE97,Fujifilm,746,SLR-Like,3.14,6,3,597,xD Picture Card,16
CASE98,Fujifilm,425,Compact,6,3,3,205,xD Picture Card,16
CASE99,Fujifilm,289,Ultra Compact,3.1,3,3,180,xD Picture Card,16
CASE100,Fujifilm,300,SLR-Like,3.1,6,3,400,xD Picture Card,16
CASE101,Fujifilm,577,SLR-Like,6,6,3,590,xD Picture Card,16
CASE102,Fujifilm,106,Compact,1.92,3,2.5,225,xD Picture Card,16
CASE103,Fujifilm,384,Ultra Compact,3.1,3,3,205,xD Picture Card,16
CASE104,Fujifilm,234,Ultra Compact,3.14,3,3,190,xD Picture Card,16
CASE105,Fujifilm,162,Compact,3.14,3,3.2,225,xD Picture Card,16
CASE106,Fujifilm,367,SLR-Like,3.1,10,4,430,xD Picture Card,16
CASE107,Fujifilm,349,Compact,3.14,3,3.2,205,xD Picture Card,16
CASE108,Fujifilm,114,Compact,1.92,3,2.5,235,xD Picture Card,16
CASE109,Fujifilm,180,Compact,1.92,0,2.5,180,xD Picture Card,16
CASE110,Fujifilm,204,SLR-Like,3.14,6,2.5,400,xD Picture Card,16
CASE111,Fujifilm,199,Ultra Compact,1.92,0,2.5,200,SmartMedia,16
CASE112,Kodak,324,Compact,4,4,4,270,Internal Memory,16
CASE113,Kodak,300,Compact,4.9,3,5,240,Internal Memory,16
CASE114,Kodak,201,Compact,3.1,3,3.3,225,Internal Memory,16
CASE115,Kodak,462,Compact,6.2,3,3,270,Internal Memory,16
CASE116,Kodak,246,Compact,4,3,3,198,Internal Memory,16
CASE117,Kodak,124,Compact,3.2,0,0,162,Internal Memory,16
CASE118,Kodak,150,Compact,2,2.1,2,195,Internal Memory,16
CASE119,Kodak,352,Compact,5,2.8,3.6,220,Internal Memory,16
CASE120,Kodak,306,Compact,4,2.8,3.6,220,Internal Memory,16
CASE121,Kodak,441,SLR-Like,4,10,3,380,Internal Memory,16
CASE122,Kodak,262,Compact,5,3,3.3,260,Internal Memory,16
CASE123,Kodak,130,Compact,2,0,2,195,Internal Memory,16
CASE124,Kodak,178,Compact,3.1,3,3.3,225,Internal Memory,16
CASE125,Kodak,124,Compact,2,3,3.3,225,Internal Memory,16
CASE126,Kodak,199,Compact,4,3,3,260,Internal Memory,16
CASE127,Kodak,4499,SLR,13.7,10,0,1000,Compact Flash,0
CASE128,Kodak,4932,SLR,13.5,10,0,1000,Compact Flash,0
CASE129,Kodak,200,Compact,3.2,2,2,250,Internal Memory,16
CASE130,Kodak,154,Compact,2,3,2,280,Internal Memory,16
CASE131,Kodak,179,Compact,3.1,3,3.3,260,Internal Memory,16
CASE132,Kodak,309,Compact,4,4,3.8,270,Internal Memory,16
CASE133,Konica Minolta,507,Ultra Compact,5.9,3,3,235,Internal Memory,16
CASE134,Konica Minolta,915,SLR-Like,8,7.1,2,639,Compact Flash,16
CASE135,Konica Minolta,417,SLR-Like,3.87,10,4,411,Compact Flash,16
CASE136,Konica Minolta,260,Ultra Compact,3.14,3.1,4,155,Compact Flash,16
CASE137,Konica Minolta,449,Ultra Compact,3.87,3,2,210,Compact Flash,16
CASE138,Konica Minolta,765,SLR-Like,4.92,7.1,2,639,Compact Flash,16
CASE139,Konica Minolta,349,Compact,3.14,3,4,195,Compact Flash,16
CASE140,Konica Minolta,499,SLR-Like,3.2,10,4,411,Compact Flash,16
CASE141,Konica Minolta,599,Ultra Compact,5,3,3,235,Internal Memory,16
CASE142,Konica Minolta,309,Ultra Compact,1.92,3,4,165,Internal Memory,8
CASE143,Konica Minolta,379,Ultra Compact,5,3,3,235,Internal Memory,16
CASE144,Konica Minolta,330,Ultra Compact,3.87,3,4,220,Internal Memory,16
CASE145,Konica Minolta,169,Compact,1.92,3,3,280,Internal Memory,8
CASE146,Konica Minolta,239,Ultra Compact,3.14,3,4,155,Internal Memory,16
CASE147,Konica Minolta,259,Compact,3.87,4,2,423,Internal Memory,16
CASE148,Konica Minolta,425,Ultra Compact,4.92,3,4,220,Internal Memory,32
CASE149,Konica Minolta,329,Ultra Compact,5,3,4,235,Internal Memory,16
CASE150,Konica Minolta,441,Ultra Compact,3.14,3,2,155,Internal Memory,16
CASE151,Konica Minolta,508,SLR-Like,4.92,7.1,2,650,Internal Memory,16
CASE152,Konica Minolta,761,SLR-Like,4.92,7.1,2,608,Internal Memory,16
CASE153,Konica Minolta,263,Ultra Compact,1.92,3,2,155,Internal Memory,8
CASE154,Konica Minolta,500,Compact,3.87,4,2,423,Compact Flash,16
CASE155,Casio,357,Ultra Compact,4,3,4,150,Internal Memory,16
CASE156,Casio,299,Ultra Compact,3.14,3,4,150,Internal Memory,16
CASE157,Casio,564,Compact,5.9,4,4,275,Internal Memory,16
CASE158,Casio,274,Compact,3.94,3,4,198,Internal Memory,16
CASE159,Casio,322,Compact,4.92,3,4,210,Internal Memory,16
CASE160,Casio,232,Ultra Compact,1.92,0,4,100,Internal Memory,16
CASE161,Casio,349,Ultra Compact,4,3,4,170,Internal Memory,16
CASE162,Casio,249,Compact,4,3,3.2,210,Internal Memory,16
CASE163,Casio,338,Ultra Compact,3.14,0,4,110,Internal Memory,16
