CaseID,Manufacturer,Processor Type,Processor Speed (Mhz),Monitor (inches),Type,Memory (MB),Drive Capacity (GB),Price
0,Apple,PowerPC G4,733,13.8,Tower,128,40,1294
1,Compaq,Intel Celeron,1330,15,Desktop,128,30,750
2,Gateway,Intel Pentium,1800,15,Tower,256,80,1650
3,Gateway,Intel Pentium,1800,17,Tower,1024,120,2550
4,Sony,Intel Pentium,1700,21,Tower,512,80,2699
5,Gateway,Intel Pentium,1800,15,Desktop,256,80,1650
6,Gateway,Intel Celeron,1200,15,Desktop,128,20,1000
7,Dell,Intel Pentium,1600,15,Desktop,512,20,719
8,Fujitsu,Intel Pentium,650,14,Laptop,192,15,989
9,Toshiba,Intel Celeron,900,15,Tower,128,20,780
10,Dell,Intel Pentium,1700,17,Desktop,512,40,2166
11,Dell,Intel Pentium,1700,17,Tower,512,40,1857
12,Toshiba,Intel Celeron,1000,13.3,Laptop,512,20,989
13,Compaq,Intel Pentium,1300,14,Laptop,256,20,1550
14,Toshiba,Intel Pentium,1500,17,Desktop,256,40,1329
15,Dell,Intel Celeron,900,15,Desktop,512,20,967
16,Compaq,AMD Duron,700,14,Laptop,256,20,1000
17,Dell,Intel Pentium,1700,17,Tower,128,20,1138
18,Apple,PowerPC G3,600,15,Desktop,256,40,986
19,Gateway,Intel Pentium,1800,17,Desktop,1024,120,2550
20,Dell,Intel Pentium,1700,17,Tower,512,40,2166
21,Fujitsu,Intel Pentium,800,13.3,Laptop,256,30,2499
22,Dell,Intel Pentium,1700,17,Desktop,128,20,1138
23,Compaq,Intel Pentium,900,14,Laptop,256,30,1300
24,Gateway,Intel Pentium,1600,17,Tower,128,20,1300
25,Fujitsu,Intel Celeron,500,10.4,Laptop,256,15,2399
26,Dell,Intel Pentium,1000,15,Laptop,512,30,1429
27,Dell,Intel Pentium,900,15,Laptop,256,10,1345
28,Toshiba,Intel Pentium,1000,15,Tower,256,40,1150
29,Dell,Intel Pentium,1000,17,Desktop,128,20,1055
30,Dell,Intel Pentium,1900,17,Tower,2000,40,1507
31,Gateway,Intel Pentium,1600,15,Tower,256,40,1550
32,Dell,Intel Pentium,900,12,Laptop,256,10,949
33,Gateway,Intel Pentium,2200,17,Desktop,1024,120,2700
34,Gateway,Intel Pentium,2200,17,Tower,1024,120,2700
35,Toshiba,Intel Pentium,1000,15,Desktop,256,40,1150
36,Gateway,Intel Pentium,1060,14,Laptop,256,20,1350
37,Fujitsu,Intel Pentium,650,14,Laptop,512,20,1679
38,Fujitsu,Intel Pentium,600,14,Laptop,192,12,1279
39,Sony,Intel Pentium,1500,15,Tower,256,60,996
40,HP,Intel Pentium,1000,15,Desktop,256,20,1020
