Car Code,Manufacturer,Body,Price,Miles,Power,Speed,CCM,ZIP
0,bmw,sedan,28699,66474,115,203,2500,8
1,bmw,coupe,33299,31802,150,241,3200,7
2,bmw,station_wagon,87499,9874,285,252,4000,1
3,bmw,station_wagon,43599,32292,150,183,2000,9
4,bmw,fastback,25599,53714,102,183,1600,6
5,bmw,station_wagon,55599,11230,170,197,2300,0
6,bmw,coupe,39099,12428,115,183,1800,5
7,bmw,sedan,30399,43979,115,183,1800,6
8,bmw,sedan,16499,120039,115,183,1800,6
9,mercedes-benz,station_wagon,58699,17742,204,213,2800,8
10,audi,station_wagon,31899,36304,110,173,1900,8
11,bmw,station_wagon,34899,65071,142,203,2500,0
12,mercedes-benz,station_wagon,14599,148011,136,183,2000,5
13,mercedes-benz,sedan,41499,105427,278,252,4300,1
14,bmw,sedan,41899,25976,142,203,2500,7
15,vw,sedan,22099,71433,90,183,1900,6
16,mercedes-benz,station_wagon,46799,44746,176,224,3000,1
17,vw,convertible,18099,41044,100,183,1800,8
18,vw,sedan,13099,139492,110,183,1900,2
19,audi,sedan,31499,28484,101,183,1600,9
20,mercedes-benz,station_wagon,44099,51851,176,224,3000,2
21,vw,fastback,19499,43520,64,183,1800,7
22,vw,sedan,36599,19469,150,183,1900,4
23,vw,fastback,18599,61351,90,183,1800,2
24,bmw,coupe,78199,16819,320,241,3500,6
25,vw,fastback,21499,11824,75,183,1800,2
26,bmw,convertible,33599,47531,150,241,3200,4
27,vw,convertible,13299,93704,100,183,1800,1
28,vw,convertible,22899,36372,90,183,1800,8
29,mercedes-benz,station_wagon,25299,105397,130,224,2900,5
30,vw,station_wagon,31899,14464,100,183,1900,7
31,mercedes-benz,roadster,27999,95365,192,197,2300,8
32,mercedes-benz,station_wagon,41299,34404,150,203,2500,1
33,bmw,sedan,36799,73783,193,213,2800,2
34,vw,fastback,8899,157124,110,183,1800,7
35,vw,convertible,21799,42137,90,183,1800,1
36,bmw,convertible,9699,184314,115,183,1800,7
37,mercedes-benz,station_wagon,37499,42350,136,183,2000,2
38,vw,station_wagon,18699,48535,75,183,1800,6
39,vw,fastback,25199,12518,64,183,1800,8
40,bmw,roadster,16899,153899,191,213,2800,4
41,bmw,sedan,61499,25044,235,183,3500,8
42,mercedes-benz,sedan,30699,58491,136,183,2000,2
43,vw,fastback,32599,43924,190,183,1800,7
44,mercedes-benz,sedan,14799,133262,122,183,1800,8
45,vw,station_wagon,6199,184763,90,183,1800,3
46,vw,fastback,17699,67307,90,183,1800,8
47,mercedes-benz,sedan,57599,6858,130,224,2900,7
48,bmw,station_wagon,21899,86248,115,183,1800,9
49,mercedes-benz,sedan,26599,87136,150,203,2500,9
50,bmw,fastback,10599,173794,115,183,1800,6
51,vw,sedan,32599,11888,100,183,1900,8
52,mercedes-benz,station_wagon,36499,74544,176,224,3000,4
53,vw,convertible,11899,106803,90,183,1800,6
54,vw,station_wagon,24699,66674,150,183,1900,4
55,vw,convertible,7599,160973,100,183,1800,0
56,bmw,convertible,56399,2713,193,213,2800,4
57,vw,sedan,14499,109004,100,183,1900,7
58,bmw,roadster,56699,8678,191,213,2800,5
59,mercedes-benz,sedan,14799,138833,95,187,2200,2
60,bmw,station_wagon,48399,18884,193,213,2800,2
61,mercedes-benz,station_wagon,46299,46104,204,213,2800,0
62,vw,fastback,18099,56792,100,183,1800,2
